fecha,viajeros,accidentes
2025-01-31,102.95,3908
2025-02-28,103.88,3646
2025-03-31,110.44999999999999,4424
2025-04-30,100.27000000000001,4045
2025-05-31,107.2,4190
2025-06-30,108.98,4288
