fecha,gravedad,num_accidentes,modo_transporte,valor
2018-10-01,,,Autobús Urbano,40.49
2018-10-01,,,Metro,62.91
2018-11-01,,,Autobús Urbano,37.96
2018-11-01,,,Metro,60.09
2018-12-01,,,Autobús Urbano,35.44
2018-12-01,,,Metro,56.59
2019-01-01,,,Autobús Urbano,38.04
2019-01-01,,,Metro,58.6
2019-02-01,,,Autobús Urbano,38.46
2019-02-01,,,Metro,57.35
2019-03-01,,,Autobús Urbano,41.25
2019-03-01,,,Metro,61.47
2019-04-01,,,Autobús Urbano,36.74
2019-04-01,,,Metro,55.27
2019-05-01,,,Autobús Urbano,40.48
2019-05-01,,,Metro,57.56
2019-06-01,,,Autobús Urbano,38.4
2019-06-01,,,Metro,56.9
2019-07-01,,,Autobús Urbano,32.86
2019-07-01,,,Metro,50.95
2019-08-01,,,Autobús Urbano,22.92
2019-08-01,,,Metro,36.13
2019-09-01,,,Autobús Urbano,36.47
2019-09-01,,,Metro,56.27
2019-10-01,,,Autobús Urbano,43.1
2019-10-01,,,Metro,66.15
2019-11-01,,,Autobús Urbano,38.38
2019-11-01,,,Metro,62.78
2019-12-01,,,Autobús Urbano,33.03
2019-12-01,,,Metro,58.04
2020-01-01,,,Autobús Urbano,38.99
2020-01-01,,,Metro,59.6
2020-02-01,,,Autobús Urbano,40.9
2020-02-01,,,Metro,60.41
2020-03-01,,,Autobús Urbano,17.85
2020-03-01,,,Metro,26.42
2020-04-01,,,Autobús Urbano,3.12
2020-04-01,,,Metro,4.86
2020-05-01,,,Autobús Urbano,6.0
2020-05-01,,,Metro,9.64
2020-06-01,,,Autobús Urbano,14.7
2020-06-01,,,Metro,21.78
2020-07-01,,,Autobús Urbano,18.47
2020-07-01,,,Metro,27.07
2020-08-01,,,Autobús Urbano,14.04
2020-08-01,,,Metro,20.71
2020-09-01,,,Autobús Urbano,19.77
2020-09-01,,,Metro,27.86
2020-10-01,,,Autobús Urbano,22.73
2020-10-01,,,Metro,30.07
2020-11-01,,,Autobús Urbano,22.53
2020-11-01,,,Metro,30.49
2020-12-01,,,Autobús Urbano,22.56
2020-12-01,,,Metro,30.93
2021-01-01,,,Autobús Urbano,14.36
2021-01-01,,,Metro,29.27
2021-02-01,,,Autobús Urbano,21.52
2021-02-01,,,Metro,30.3
2021-03-01,,,Autobús Urbano,25.23
2021-03-01,,,Metro,35.04
2021-04-01,,,Autobús Urbano,24.7
2021-04-01,,,Metro,33.8
2021-05-01,,,Autobús Urbano,26.24
2021-05-01,,,Metro,36.11
2021-06-01,,,Autobús Urbano,27.1
2021-06-01,,,Metro,37.71
2021-07-01,,,Autobús Urbano,23.6
2021-07-01,,,Metro,34.04
2021-08-01,,,Autobús Urbano,17.09
2021-08-01,,,Metro,26.0
2021-09-01,,,Autobús Urbano,27.41
2021-09-01,,,Metro,41.22
2021-10-01,,,Autobús Urbano,30.64
2021-10-01,,,Metro,47.2
2021-11-01,,,Autobús Urbano,31.1
2021-11-01,,,Metro,48.33
2021-12-01,,,Autobús Urbano,27.69
2021-12-01,,,Metro,43.29
2022-01-01,,,Autobús Urbano,26.72
2022-01-01,,,Metro,39.66
2022-02-01,,,Autobús Urbano,29.77
2022-02-01,,,Metro,44.81
2022-03-01,,,Autobús Urbano,35.38
2022-03-01,,,Metro,52.84
2022-04-01,,,Autobús Urbano,30.26
2022-04-01,,,Metro,46.53
2022-05-01,,,Autobús Urbano,33.68
2022-05-01,,,Metro,50.34
2022-06-01,,,Autobús Urbano,32.51
2022-06-01,,,Metro,48.2
2022-07-01,,,Autobús Urbano,25.22
2022-07-01,,,Metro,40.76
2022-08-01,,,Autobús Urbano,20.45
2022-08-01,,,Metro,31.91
2022-09-01,,,Autobús Urbano,33.94
2022-09-01,,,Metro,51.16
2022-10-01,,,Autobús Urbano,36.34
2022-10-01,,,Metro,56.08
2022-11-01,,,Autobús Urbano,36.08
2022-11-01,,,Metro,56.17
2022-12-01,,,Autobús Urbano,32.81
2022-12-01,,,Metro,53.2
2023-01-01,,,Autobús Urbano,34.67
2023-01-01,,,Metro,54.42
2023-02-01,,,Autobús Urbano,35.22
2023-02-01,,,Metro,55.34
2023-03-01,,,Autobús Urbano,40.37
2023-03-01,,,Metro,61.49
2023-04-01,,,Autobús Urbano,35.05
2023-04-01,,,Metro,54.1
2023-05-01,,,Autobús Urbano,39.24
2023-05-01,,,Metro,58.49
2023-06-01,,,Autobús Urbano,40.08
2023-06-01,,,Metro,57.07
2023-07-01,,,Autobús Urbano,35.78
2023-07-01,,,Metro,47.86
2023-08-01,,,Autobús Urbano,27.98
2023-08-01,,,Metro,36.49
2023-09-01,,,Autobús Urbano,42.46
2023-09-01,,,Metro,54.82
2023-10-01,,,Autobús Urbano,44.11
2023-10-01,,,Metro,62.23
2023-11-01,,,Autobús Urbano,41.98
2023-11-01,,,Metro,61.57
2023-12-01,,,Autobús Urbano,37.69
2023-12-01,,,Metro,58.42
2024-01-01,,,Autobús Urbano,40.24
2024-01-01,,,Metro,58.88
2024-02-01,,,Autobús Urbano,41.47
2024-02-01,,,Metro,61.47
2024-03-01,,,Autobús Urbano,39.07
2024-03-01,,,Metro,59.13
2024-04-01,,,Autobús Urbano,44.2
2024-04-01,,,Metro,64.26
2024-05-01,,,Autobús Urbano,42.46
2024-05-01,,,Metro,62.33
2024-06-01,,,Autobús Urbano,40.32
2024-06-01,,,Metro,58.8
2024-07-01,,,Autobús Urbano,34.08
2024-07-01,,,Metro,52.44
2024-08-01,,,Autobús Urbano,25.8
2024-08-01,,,Metro,39.57
2024-09-01,,,Autobús Urbano,40.13
2024-09-01,,,Metro,59.82
2024-10-01,,,Autobús Urbano,45.86
2024-10-01,,,Metro,69.47
2024-11-01,,,Autobús Urbano,42.53
2024-11-01,,,Metro,65.96
2024-12-01,,,Autobús Urbano,39.92
2024-12-01,,,Metro,63.06
2025-01-01,Grave,295.0,Autobús Urbano,40.82
2025-01-01,Grave,295.0,Metro,62.13
2025-01-01,Leve,1964.0,Autobús Urbano,40.82
2025-01-01,Leve,1964.0,Metro,62.13
2025-01-01,Mortal,2.0,Autobús Urbano,40.82
2025-01-01,Mortal,2.0,Metro,62.13
2025-01-01,Sin lesiones,1647.0,Autobús Urbano,40.82
