modo_transporte,ciudad,tipo_indicador,valor,fecha
Metro,Madrid,Viajeros,31.45,2016-08-01
Autobús Urbano,Madrid,Viajeros,38.04,2016-09-01
Metro,Madrid,Viajeros,48.35,2016-09-01
Autobús Urbano,Madrid,Viajeros,40.35,2016-10-01
Metro,Madrid,Viajeros,53.05,2016-10-01
Autobús Urbano,Madrid,Viajeros,37.79,2016-11-01
Metro,Madrid,Viajeros,53.66,2016-11-01
Autobús Urbano,Madrid,Viajeros,34.84,2016-12-01
Metro,Madrid,Viajeros,52.9,2016-12-01
Autobús Urbano,Madrid,Viajeros,35.61,2017-01-01
Metro,Madrid,Viajeros,52.37,2017-01-01
Autobús Urbano,Madrid,Viajeros,36.93,2017-02-01
Metro,Madrid,Viajeros,52.22,2017-02-01
Autobús Urbano,Madrid,Viajeros,41.16,2017-03-01
Metro,Madrid,Viajeros,57.51,2017-03-01
Autobús Urbano,Madrid,Viajeros,33.88,2017-04-01
Metro,Madrid,Viajeros,49.92,2017-04-01
Autobús Urbano,Madrid,Viajeros,38.63,2017-05-01
Metro,Madrid,Viajeros,55.55,2017-05-01
Autobús Urbano,Madrid,Viajeros,37.39,2017-06-01
Metro,Madrid,Viajeros,54.63,2017-06-01
Autobús Urbano,Madrid,Viajeros,33.37,2017-07-01
Metro,Madrid,Viajeros,46.0,2017-07-01
Autobús Urbano,Madrid,Viajeros,25.05,2017-08-01
Metro,Madrid,Viajeros,35.15,2017-08-01
Autobús Urbano,Madrid,Viajeros,34.67,2017-09-01
Metro,Madrid,Viajeros,52.44,2017-09-01
Autobús Urbano,Madrid,Viajeros,39.24,2017-10-01
Metro,Madrid,Viajeros,59.15,2017-10-01
Autobús Urbano,Madrid,Viajeros,38.14,2017-11-01
Metro,Madrid,Viajeros,57.72,2017-11-01
Autobús Urbano,Madrid,Viajeros,33.85,2017-12-01
Metro,Madrid,Viajeros,53.74,2017-12-01
Autobús Urbano,Madrid,Viajeros,36.53,2018-01-01
Metro,Madrid,Viajeros,56.11,2018-01-01
Autobús Urbano,Madrid,Viajeros,34.93,2018-02-01
Metro,Madrid,Viajeros,55.44,2018-02-01
Autobús Urbano,Madrid,Viajeros,35.18,2018-03-01
Metro,Madrid,Viajeros,56.56,2018-03-01
